Mon Jun  9 00:35:31 2025    hub_simulation.prof

         184273617 function calls (184264004 primitive calls) in 199.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46470    0.006    0.000    0.006    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:3076(parameters)
    38755    0.006    0.000    0.006    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:2793(kind)
     1936    0.003    0.000    0.005    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:1928(_updated_ctor_param)
     5833    0.005    0.000    0.005    0.000 {method 'copy' of 'dict' objects}
     9693    0.004    0.000    0.004    0.000 {method 'isidentifier' of 'str' objects}
    17483    0.004    0.000    0.004    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:2781(name)
     5810    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x58eac5606b80}
     1936    0.003    0.000    0.003    0.000 {built-in method _uuid.generate_time_safe}
     9693    0.003    0.000    0.003    0.000 {method '__contains__' of 'frozenset' objects}
     1936    0.003    0.000    0.003    0.000 {built-in method math.ceil}
     6531    0.002    0.000    0.002    0.000 {method 'getrandbits' of '_random.Random' objects}
     1936    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     5808    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     5824    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     1965    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     3928    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     3922    0.002    0.000    0.002    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:925(squeeze_left)
     5810    0.002    0.000    0.002    0.000 {built-in method sys.getrecursionlimit}
     3884    0.002    0.000    0.002    0.000 {method 'bit_length' of 'int' objects}
     1936    0.002    0.000    0.002    0.000 {method 'count' of 'list' objects}
     1936    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1936    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/scipy/_lib/_util.py:461(check_random_state)
     7753    0.001    0.000    0.001    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/inspect.py:2785(default)
